Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-10-03 10:53:46,3,1,72 JJ Jarik,06 Kylie Chesner,1,1,0,1,0,0,0,0,0,0,1,26.798553,21.242996,-16.337002,0.5116919,0.3382578,0.9532325,0.12582783
2025-10-03 10:54:51,3,2,15 Hannah Cheng,27 Connie Chan,0,0,0,0,0,0,1,0,0,0,1,32.303284,32.29751,-0.6107292,0.8445667,0.82883346,0.8610729,0.50585836
2025-10-03 10:55:11,3,2,27 Connie Chan,72 JJ Jarik,1,1,0,0,0,0,0,0,0,1,0,26.572515,18.950584,18.627235,0.8610729,0.50585836,0.35763413,0.31635252
2025-10-03 10:56:59,3,3,15 Hannah Cheng,72 JJ Jarik,0,0,0,0,0,0,0,1,0,1,0,17.97435,0.56037307,17.965612,0.9642366,0.8196638,0.47867954,0.8140601
2025-10-03 10:57:04,3,3,72 JJ Jarik,06 Kylie Chesner,0,0,0,0,0,0,0,0,0,0,0,10.519858,7.6923013,7.176066,0.47867954,0.8140601,0.2847318,0.7371371
2025-10-03 10:57:10,3,3,06 Kylie Chesner,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,0,0,0,9.297723,7.182884,-5.903713,0.2847318,0.7371371,0.44429162,0.66530824
2025-10-03 10:57:18,3,3,08 PJ Maddi Lang,15 Hannah Cheng,0,0,0,0,0,0,0,0,1,0,0,8.46195,-8.456439,0.3053646,0.44429162,0.66530824,0.43603852,0.7498726
2025-10-03 10:57:20,3,3,15 Hannah Cheng,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,0,0,0,8.558594,4.584819,-7.2269607,0.43603852,0.7498726,0.6313618,0.70402443
2025-10-03 10:57:26,3,3,08 PJ Maddi Lang,27 Connie Chan,0,0,0,0,0,0,0,0,0,0,1,16.535233,12.78655,-10.484181,0.6313618,0.70402443,0.91471803,0.57615894
2025-10-03 10:57:36,3,3,27 Connie Chan,08 PJ Maddi Lang,0,0,0,0,0,0,0,0,1,1,0,9.361435,-2.547121,9.008254,0.91471803,0.57615894,0.6712517,0.60163015
